Data,Quantidade,Total,Media
2022-03-11,51391244,"28592888,04","556,38"
2022-10-25,67463211,"36295112,51",538
2020-11-16,1515848,"971013,58","640,57"
2022-03-03,45623079,"28273537,13","619,72"
2022-08-19,68537632,"35326854,17","515,44"
2020-11-21,1217467,"417082,25","342,58"
2020-11-26,1990462,"2299506,05","1155,26"
2021-08-01,12588622,"2539237,91","201,71"
2022-04-30,49194867,"10741113,45","218,34"
2021-11-24,34866562,"19139655,38","548,94"
2023-02-01,86052389,"44277349,54","514,54"
2022-01-02,18394033,"3351939,46","182,23"
2021-12-15,45873628,"29538148,56","643,9"
2023-01-22,46624278,"5768798,3","123,73"
2022-10-20,78681091,"40820654,62","518,81"
2021-03-21,4978096,"1187646,88","238,57"
2020-12-29,5668721,"5506344,36","971,36"
2021-04-24,11220168,"2855316,92","254,48"
2022-11-08,85671637,"42681013,54","498,19"
2021-11-17,35973650,"21869186,3","607,92"
2021-07-26,23568674,"17757747,15","753,45"
2020-11-17,1599192,"1215901,44","760,32"
2021-10-13,33626164,"21979978,99","653,66"
2020-12-02,3177418,"3142714,99","989,08"
2021-09-02,32231043,"19878090,43","616,74"
2022-01-09,22879702,"4336146,98","189,52"
2022-11-09,81595291,"37924268,1","464,79"
2022-05-17,48644147,"27449210,89","564,29"
2022-03-21,46422193,"32444796,24","698,91"
2021-05-02,7871527,"1952873,89","248,09"
2021-07-06,31329619,"19484160,03","621,91"
2022-01-06,40171241,"22964780,74","571,67"
2021-01-10,2826034,"935035,68","330,86"
2021-09-12,16043370,"2837941,74","176,89"
2022-03-07,55619897,"37594544,25","675,92"
2022-08-21,37171856,"5020566,93","135,06"
2021-08-02,29663858,"22455734,46","757,01"
2021-07-20,28204693,"19023209,27","674,47"
2021-03-06,8924639,"2935670,29","328,94"
2022-04-14,56705932,"31834465,31","561,4"
2021-12-21,47408729,"26159395,58","551,78"
2022-01-03,36957068,"26160407,44","707,86"
2022-12-04,49790888,"7539464,93","151,42"
2022-03-31,52839320,"33454832,9","633,14"
2021-12-12,23082767,"3706423,66","160,57"
2022-12-18,49336610,"6947910,37","140,83"
2020-11-18,1551002,"1535833,34","990,22"
2021-01-24,2593246,"675172,02","260,36"
2022-09-19,61762403,"36161459,94","585,49"
2021-08-24,26697300,"16159384,28","605,28"
2022-09-23,69981808,"33445891,82","477,92"
2022-12-12,82662962,"51724059,98","625,72"
2021-07-28,23702852,"14327387,42","604,46"
2022-03-29,42227501,"24042255,34","569,35"
2022-02-04,54568607,"31910832,79","584,78"
2023-01-06,99958110,"52186171,95","522,08"
2021-08-09,31424740,"22009527,32","700,39"
2021-06-03,15977499,"4836202,84","302,69"
2022-06-20,62189185,"42335916,58","680,76"
2021-02-14,3667793,"955804,69","260,59"
2022-09-22,63645472,"29841381,82","468,87"
2022-01-30,21636712,"3544507,56","163,82"
2021-08-05,31815790,"21091243,29","662,92"
2021-12-04,38135207,"8908868,95","233,61"
2021-02-04,8239245,"7002028,39","849,84"
2021-08-08,15210008,"3004509,8","197,54"
2022-10-30,38576269,"5057703,63","131,11"
2021-09-03,37646230,"24302454,43","645,55"
2023-02-21,51241904,"7810175,32","152,42"
2021-07-24,20818705,"4302587,98","206,67"
2022-03-02,45134701,"35066138,68","776,92"
2021-05-31,21183763,"19082902,85","900,83"
2022-08-05,89999414,"53109294,38","590,11"
2021-03-19,12740172,"9666147,49","758,71"
2021-11-06,36475683,"8765231,11","240,3"
2022-01-28,41822461,"24471656,54","585,13"
2021-02-07,3961858,"1127914,27","284,69"
2020-12-09,4030272,"3727354,1","924,84"
2021-01-28,6436942,"5846217,16","908,23"
2021-06-15,23709672,"16794134,33","708,32"
2022-11-13,43852791,"5817349,32","132,66"
2021-03-12,12095634,"9479938,23","783,75"
2021-02-21,3920144,"965281,45","246,24"
2021-11-13,31324256,"6593616,35","210,5"
2022-08-10,70469428,"40589807,5","575,99"
2022-06-16,41816585,"9179671,77","219,52"
2021-11-04,37192971,"22767422,79","612,14"
2021-09-19,15833764,"2642456,17","166,89"
2022-01-21,42897577,"23681697,42","552,05"
2022-12-26,66934699,"39397265,32","588,59"
2022-06-28,50881872,"29440479,51","578,6"
2021-12-16,42715370,"23657121,9","553,83"
2022-02-24,42361318,"23963284,78","565,69"
2021-06-09,24444552,"14986128,38","613,07"
2022-03-20,26441269,"4037951,73","152,71"
2022-11-22,71975615,"34045038,65","473,01"
2022-12-07,96629476,"47159548,04","488,05"
2021-05-29,17149771,"4201272,76","244,98"
2023-02-10,95375606,"52436073,86","549,78"
2021-02-12,10596529,"9326962,8","880,19"
2023-02-16,84965806,"38784584,04","456,47"
2022-05-31,58964448,"36380744,52","616,99"
2022-08-04,63861507,"34610921,04","541,97"
2022-04-19,47626409,"28051748,31",589
2022-12-11,49773879,"7519138,86","151,07"
2022-07-20,65795159,"36698336,54","557,77"
2022-05-12,51935322,"27218762,78","524,09"
2021-06-25,24027044,"15386596,94","640,39"
2022-08-16,60637144,"32880557,05","542,25"
2021-10-15,39098089,"25879343,05","661,91"
2022-05-07,56961087,"12256707,76","215,18"
2022-07-19,54437667,28810725,"529,24"
2022-12-19,79525876,"48422267,23","608,89"
2023-02-23,76095864,"38693116,9","508,48"
2022-12-29,79091776,"44766563,82","566,01"
2021-08-07,27080207,"6357386,68","234,76"
2020-12-08,3836662,"3449241,91","899,02"
2022-03-30,46265663,"29158235,11","630,23"
2022-09-28,62056271,"31951929,43","514,89"
2020-11-10,135444,"55316,78","408,41"
2023-02-17,95053873,"48671279,42","512,04"
2021-09-23,28739151,"17009697,1","591,86"
2022-07-21,58803547,"28909987,62","491,64"
2022-07-12,58725499,"31449627,62","535,54"
2022-11-17,70800051,"35956966,02","507,87"
2020-12-22,5565693,"4993481,79","897,19"
2022-03-04,58531279,"36303942,61","620,25"
2022-12-31,66033591,"10868657,06","164,59"
2022-08-08,70271258,"40158971,02","571,49"
2022-04-05,56587857,"33822884,64","597,71"
2022-10-16,41948958,"5913305,32","140,96"
2021-04-13,15127115,"10545154,46","697,1"
2022-10-12,50250658,"9616178,09","191,36"
2021-09-01,33618042,"21389034,7","636,24"
2021-05-19,18925479,"11985417,17","633,3"
2023-01-26,70027461,"34236186,9","488,9"
2021-02-16,5807263,"2349340,9","404,55"
2022-12-24,72011027,"12945575,08","179,77"
2022-10-24,63834768,"35933916,03","562,92"
2022-11-04,84859656,"47647401,99","561,48"
2022-09-09,80052493,"43001782,82","537,17"
2021-12-31,33736977,"9240234,93","273,89"
2022-09-10,66005619,"13540846,45","205,15"
2022-04-07,63504251,"32259591,04","507,99"
2021-04-22,14908610,"11928126,01","800,08"
2022-08-17,60626805,"29838990,55","492,17"
2020-12-10,4246652,"4271782,47","1005,92"
2022-08-03,61578013,32274187,"524,12"
2022-01-26,36262009,"19750949,41","544,67"
2021-11-25,36317693,"21621886,8","595,35"
2022-11-02,47202061,"9716312,39","205,85"
2022-11-14,69566169,"39199257,03","563,48"
2021-04-02,8213951,"2675455,83","325,72"
2021-09-25,25668813,"5088310,42","198,23"
2021-09-22,29537470,"17000545,73","575,56"
2022-06-08,66432895,"31372195,53","472,24"
2022-01-23,20880710,"3108924,54","148,89"
2021-10-02,30049651,6627850,"220,56"
2021-08-22,14913683,"2454698,24","164,59"
2022-11-23,71953418,"32304498,56","448,96"
2021-04-27,14619906,"10350974,96","708,01"
2021-11-12,41448985,"24858698,77","599,74"
2022-06-19,31831739,"4583450,21","143,99"
2022-06-26,30468342,"4132021,8","135,62"
2022-04-27,45989242,"25453133,39","553,46"
2021-12-22,46338986,"25092073,68","541,49"
2021-07-02,27534069,"16889668,63","613,41"
2022-01-11,39042476,"22718207,05","581,88"
2022-08-22,60899571,"38319304,82","629,22"
2022-01-15,33624989,"6962029,66","207,05"
2022-02-27,24397391,"3825358,56","156,79"
2021-05-15,14569585,"3723907,31","255,59"
2022-04-10,31706558,"5615508,08","177,11"
2021-12-30,43383893,"25708519,3","592,58"
2021-07-31,23171414,"5564714,86","240,15"
2022-06-13,53553076,"32561362,67","608,02"
2023-02-15,91147398,"47167780,34","517,49"
2021-08-06,40461988,"24872725,66","614,72"
2021-04-01,16559387,"13531711,42","817,16"
2022-11-05,74150523,"15620311,54","210,66"
2022-07-27,54124330,"28042983,97","518,12"
2023-02-02,80319586,"37228039,85","463,5"
2021-09-24,32496950,"19389795,5","596,67"
2021-01-25,6108034,"6238580,15","1021,37"
2023-01-08,49385275,"7516158,46","152,19"
2021-01-09,4522432,"1567788,87","346,67"
2020-11-20,1957506,"1824187,41","931,89"
2022-07-08,73155129,"39559253,11","540,76"
2020-12-25,1622897,"590867,68","364,08"
2022-12-06,96888385,"50313198,79","519,29"
2023-02-19,48844765,"5956552,4","121,95"
2022-12-30,80749221,"25464399,86","315,35"
2021-11-14,18822531,"2985613,68","158,62"
2022-12-05,84232305,"50238215,06","596,42"
2021-05-26,18642985,"11330748,69","607,78"
2021-04-07,19398892,"13077243,77","674,12"
2022-01-29,34635894,"7315616,63","211,21"
2021-06-19,18492470,"4078485,15","220,55"
2020-11-12,288401,"118321,97","410,27"
2021-04-15,16600302,"12608566,41","759,54"
2021-06-02,23593904,"15803478,49","669,81"
2020-12-07,4019110,"4527911,05","1126,6"
2022-09-15,70250288,"39242326,17","558,61"
2022-01-17,38511454,"27180636,48","705,78"
2022-08-11,63040842,"31352800,56","497,34"
2022-03-27,24528952,"3560507,3","145,16"
2021-06-27,11340610,"1915413,43","168,9"
2023-01-28,68998805,"11932537,25","172,94"
2022-11-06,46620101,"7066646,83","151,58"
2021-04-25,6751665,"1509719,48","223,61"
2021-01-07,7430684,"6732860,36","906,09"
2022-05-03,53511895,"30250963,41","565,31"
2023-01-18,71903008,"32894782,8","457,49"
2021-03-09,12595330,"9256848,42","734,94"
2022-09-21,67432477,"32429325,71","480,92"
2021-10-22,36169599,"20526581,3","567,51"
2021-11-29,35071142,"24749751,71","705,7"
2022-07-25,52591382,"31964738,89","607,79"
2021-06-07,27112608,"20827416,78","768,18"
2021-08-26,27088735,"16007378,25","590,92"
2023-01-19,72572888,"33382247,75","459,98"
2022-10-23,41427598,"5150070,05","124,31"
2021-04-11,7044510,"1753070,83","248,86"
2022-08-15,63058571,"40791267,97","646,88"
2022-09-24,58948636,"10383610,57","176,15"
2021-08-25,27769189,"17853652,14","642,93"
2021-03-26,11896345,"9018407,05","758,08"
2022-01-08,36252947,"8426068,32","232,42"
2021-07-21,25834235,"14595414,68","564,96"
2021-08-12,26284328,"15657105,68","595,68"
2022-05-22,30470985,"4328454,91","142,05"
2021-10-20,37664131,"23636028,95","627,55"
2022-07-31,36071134,"5512143,25","152,81"
2021-05-24,17919673,"12887183,91","719,16"
2021-04-23,15782102,"11743904,7","744,13"
2022-02-18,47958142,"25916074,38","540,39"
2022-05-05,62659802,"35911850,91","573,12"
2022-09-18,38649480,"5022076,65","129,94"
2022-05-16,52474628,"35208809,55","670,97"
2022-01-31,40959661,"31579314,84","770,99"
2021-05-18,17947101,"11746388,6","654,5"
2021-12-29,36986829,"20799252,74","562,34"
2021-10-08,42485818,"25155844,13","592,1"
2022-02-26,41357344,"9173403,55","221,81"
2021-01-31,3104842,"923683,46","297,5"
2022-11-25,81508558,"42338428,08","519,44"
2021-06-14,20632308,"15071882,4","730,5"
2021-07-03,20481300,"4989380,15","243,61"
2022-01-24,36191077,"22812958,2","630,35"
2021-11-05,50045289,"32171471,88","642,85"
2022-03-25,47743026,"29459088,94","617,03"
2022-08-31,68835028,"39737827,99","577,29"
2022-04-12,51167291,"28823544,12","563,32"
2021-09-09,34186814,"21063190,1","616,12"
